date,day_of_week,is_weekend,is_holiday,staff_on_duty,top_product,avg_margin,seasonality,daily_sales,daily_profit,is_easter_week,is_christmas_week
2015-01-23,5,0,0,9,fiber packages,0.29,post_holiday_dip,17863.87,5180.52,0,0
2015-01-24,6,1,0,15,fiber packages,0.25,post_holiday_dip,21733.99,5433.5,0,0
2015-01-25,0,1,0,15,fiber packages,0.26,post_holiday_dip,21419.33,5569.03,0,0
2015-01-26,1,0,0,4,smartphones,0.19,post_holiday_dip,16602.54,3154.48,0,0
2015-01-27,2,0,0,6,IoT devices,0.21,post_holiday_dip,16316.34,3426.43,0,0
2015-01-28,3,0,0,6,IoT devices,0.22,post_holiday_dip,18655.97,4104.31,0,0
2015-01-29,4,0,0,6,IoT devices,0.25,post_holiday_dip,18346.86,4586.72,0,0
2015-01-30,5,0,0,6,IoT devices,0.23,post_holiday_dip,17417.99,4006.14,0,0
2015-01-31,6,1,0,15,smartphones,0.18,post_holiday_dip,21650.12,3897.02,0,0
2015-02-01,0,1,0,15,smartphones,0.18,baseline,23805.97,4285.07,0,0
2015-02-02,1,0,0,4,accessories,0.28,baseline,18775.87,5257.24,0,0
2015-02-03,2,0,0,6,accessories,0.27,baseline,18206.09,4915.64,0,0
2015-02-04,3,0,0,9,fiber packages,0.29,baseline,20008.28,5802.4,0,0
2015-02-05,4,0,0,8,IoT devices,0.23,baseline,19535.18,4493.09,0,0
2015-02-06,5,0,0,6,fiber packages,0.25,baseline,19545.53,4886.38,0,0
2015-02-07,6,1,0,15,accessories,0.28,baseline,22825.36,6391.1,0,0
2015-02-08,0,1,0,14,smartphones,0.19,baseline,24250.79,4607.65,0,0
2015-02-09,1,0,0,4,fiber packages,0.27,baseline,18536.94,5004.97,0,0
2015-02-10,2,0,0,6,smartphones,0.15,baseline,18002.79,2700.42,0,0
2015-02-11,3,0,0,8,fiber packages,0.27,baseline,20217.64,5458.76,0,0
2015-02-12,4,0,0,6,accessories,0.26,baseline,20599.58,5355.89,0,0
2015-02-13,5,0,0,6,smartphones,0.2,baseline,19631.24,3926.25,0,0
2015-02-14,6,1,0,15,fiber packages,0.26,baseline,23794.87,6186.67,0,0
2015-02-15,0,1,0,11,fiber packages,0.28,baseline,24136.24,6758.15,0,0
2015-02-16,1,0,0,6,smartphones,0.18,baseline,18439.26,3319.07,0,0
2015-02-17,2,0,0,4,fiber packages,0.27,baseline,17924.75,4839.68,0,0
2015-02-18,3,0,0,6,smartphones,0.16,baseline,20028.33,3204.53,0,0
2015-02-19,4,0,0,6,fiber packages,0.28,baseline,19892.12,5569.79,0,0
2015-02-20,5,0,0,7,smartphones,0.15,baseline,19446.84,2917.03,0,0
2015-02-21,6,1,0,13,fiber packages,0.27,baseline,24587.27,6638.56,0,0
2015-02-22,0,1,0,12,fiber packages,0.3,baseline,22951.43,6885.43,0,0
2015-02-23,1,0,0,4,IoT devices,0.24,baseline,18233.63,4376.07,0,0
2015-02-24,2,0,0,4,IoT devices,0.24,baseline,18295.01,4390.8,0,0
2015-02-25,3,0,0,9,IoT devices,0.21,baseline,20546.11,4314.68,0,0
2015-02-26,4,0,0,9,IoT devices,0.24,baseline,20643.59,4954.46,0,0
2015-02-27,5,0,0,7,IoT devices,0.23,baseline,20363.16,4683.53,0,0
2015-02-28,6,1,0,10,IoT devices,0.24,baseline,24031.4,5767.54,0,0
2015-03-01,0,1,0,14,IoT devices,0.21,baseline,24821.63,5212.54,0,0
2015-03-02,1,0,0,6,fiber packages,0.29,baseline,18813.51,5455.92,0,0
2015-03-03,2,0,0,6,accessories,0.29,baseline,18016.03,5224.65,0,0
2015-03-04,3,0,0,9,fiber packages,0.25,baseline,20079.99,5020.0,0,0
2015-03-05,4,0,0,6,fiber packages,0.29,baseline,19017.6,5515.1,0,0
2015-03-06,5,0,0,8,fiber packages,0.26,baseline,19231.62,5000.22,0,0
2015-03-07,6,1,0,12,accessories,0.28,baseline,25006.34,7001.78,0,0
2015-03-08,0,1,0,15,fiber packages,0.27,baseline,23117.47,6241.72,0,0
2015-03-09,1,0,0,4,accessories,0.26,baseline,18483.19,4805.63,0,0
2015-03-10,2,0,0,6,IoT devices,0.23,baseline,18874.61,4341.16,0,0
2015-03-11,3,0,0,7,IoT devices,0.24,baseline,20908.29,5017.99,0,0
2015-03-12,4,0,0,8,accessories,0.28,baseline,19215.78,5380.42,0,0
2015-03-13,5,0,0,8,IoT devices,0.24,baseline,20775.9,4986.22,0,0
2015-03-14,6,1,0,11,IoT devices,0.21,baseline,23901.67,5019.35,0,0
2015-03-15,0,1,0,14,accessories,0.26,baseline,23924.2,6220.29,0,0
2015-03-16,1,0,0,5,smartphones,0.2,baseline,17375.42,3475.08,0,0
2015-03-17,2,0,0,6,smartphones,0.18,baseline,17854.21,3213.76,0,0
2015-03-18,3,0,0,9,accessories,0.27,baseline,20421.78,5513.88,0,0
2015-03-19,4,0,0,7,smartphones,0.2,baseline,19212.62,3842.52,0,0
2015-03-20,5,0,0,8,fiber packages,0.29,baseline,20549.17,5959.26,0,0
2015-03-21,6,1,0,13,accessories,0.27,baseline,23807.94,6428.14,0,0
2015-03-22,0,1,0,11,IoT devices,0.24,baseline,22876.21,5490.29,0,0
2015-03-23,1,0,0,6,fiber packages,0.29,baseline,18667.31,5413.52,0,0
2015-03-24,2,0,0,5,fiber packages,0.29,baseline,18264.83,5296.8,0,0
2015-03-25,3,0,0,7,smartphones,0.16,baseline,19525.23,3124.04,0,0
2015-03-26,4,0,0,6,IoT devices,0.24,baseline,19286.64,4628.79,0,0
2015-03-27,5,0,0,7,smartphones,0.18,baseline,20375.68,3667.62,0,0
2015-03-28,6,1,0,14,IoT devices,0.25,baseline,24196.62,6049.15,0,0
2015-03-29,0,1,0,13,IoT devices,0.22,baseline,23097.8,5081.52,0,0
2015-03-30,1,0,0,4,smartphones,0.16,easter_week,20789.63,3326.34,1,0
2015-03-31,2,0,0,6,fiber packages,0.27,easter_week,21002.02,5670.55,1,0
2015-04-01,3,0,0,8,smartphones,0.18,easter_week,22703.75,4086.67,1,0
2015-04-02,4,0,0,8,fiber packages,0.27,easter_week,22689.99,6126.3,1,0
2015-04-03,5,0,1,14,accessories,0.25,easter_week,25278.05,6319.51,1,0
2015-04-04,6,1,0,15,smartphones,0.17,easter_week,26684.06,4536.29,1,0
2015-04-05,0,1,0,15,smartphones,0.15,easter_week,28183.86,4227.58,1,0
2015-04-06,1,0,0,6,IoT devices,0.23,baseline,17135.77,3941.23,0,0
2015-04-07,2,0,0,4,smartphones,0.19,baseline,18859.09,3583.23,0,0
2015-04-08,3,0,0,8,accessories,0.26,baseline,20113.1,5229.41,0,0
2015-04-09,4,0,0,7,fiber packages,0.26,baseline,20069.74,5218.13,0,0
2015-04-10,5,0,0,6,IoT devices,0.25,baseline,19984.16,4996.04,0,0
2015-04-11,6,1,0,15,IoT devices,0.21,baseline,24505.75,5146.21,0,0
2015-04-12,0,1,0,12,accessories,0.27,baseline,24766.37,6686.92,0,0
2015-04-13,1,0,0,5,smartphones,0.16,baseline,17203.28,2752.52,0,0
2015-04-14,2,0,0,6,accessories,0.27,baseline,18831.34,5084.46,0,0
2015-04-15,3,0,0,6,IoT devices,0.24,baseline,20458.22,4909.97,0,0
2015-04-16,4,0,0,9,smartphones,0.19,baseline,20297.94,3856.61,0,0
2015-04-17,5,0,0,7,smartphones,0.18,baseline,19184.28,3453.17,0,0
2015-04-18,6,1,0,14,IoT devices,0.23,baseline,23257.78,5349.29,0,0
2015-04-19,0,1,0,15,smartphones,0.17,baseline,25096.49,4266.4,0,0
2015-04-20,1,0,0,6,fiber packages,0.28,baseline,18411.38,5155.19,0,0
2015-04-21,2,0,0,4,smartphones,0.18,baseline,17987.92,3237.83,0,0
2015-04-22,3,0,0,6,fiber packages,0.3,baseline,19304.58,5791.37,0,0
2015-04-23,4,0,0,8,accessories,0.28,baseline,19943.9,5584.29,0,0
2015-04-24,5,0,0,9,smartphones,0.2,baseline,20187.94,4037.59,0,0
2015-04-25,6,1,1,15,smartphones,0.17,baseline,23660.27,4022.25,0,0
2015-04-26,0,1,0,14,accessories,0.26,baseline,22870.23,5946.26,0,0
2015-04-27,1,0,0,4,fiber packages,0.3,baseline,18800.2,5640.06,0,0
2015-04-28,2,0,0,6,smartphones,0.16,baseline,17750.56,2840.09,0,0
2015-04-29,3,0,0,8,accessories,0.25,baseline,19872.75,4968.19,0,0
2015-04-30,4,0,0,7,smartphones,0.17,baseline,19465.85,3309.19,0,0
2015-05-01,5,0,1,12,smartphones,0.19,baseline,21180.83,4024.36,0,0
2015-05-02,6,1,0,10,smartphones,0.18,baseline,23944.09,4309.94,0,0
2015-05-03,0,1,0,13,accessories,0.26,baseline,22813.73,5931.57,0,0
2015-05-04,1,0,0,5,smartphones,0.19,baseline,17923.81,3405.52,0,0
2015-05-05,2,0,0,5,accessories,0.29,baseline,18107.11,5251.06,0,0
2015-05-06,3,0,0,7,IoT devices,0.22,baseline,20499.65,4509.92,0,0
2015-05-07,4,0,0,6,fiber packages,0.28,baseline,20130.19,5636.45,0,0
2015-05-08,5,0,0,6,accessories,0.29,baseline,19538.87,5666.27,0,0
2015-05-09,6,1,0,14,IoT devices,0.24,baseline,23388.98,5613.36,0,0
2015-05-10,0,1,0,10,IoT devices,0.21,baseline,24240.75,5090.56,0,0
2015-05-11,1,0,0,4,smartphones,0.17,baseline,17459.19,2968.06,0,0
2015-05-12,2,0,0,6,fiber packages,0.28,baseline,17101.06,4788.3,0,0
2015-05-13,3,0,0,6,fiber packages,0.25,baseline,19295.19,4823.8,0,0
2015-05-14,4,0,0,6,IoT devices,0.24,baseline,20044.16,4810.6,0,0
2015-05-15,5,0,0,6,smartphones,0.16,baseline,19346.29,3095.41,0,0
2015-05-16,6,1,0,12,fiber packages,0.28,baseline,22940.04,6423.21,0,0
2015-05-17,0,1,0,12,fiber packages,0.29,baseline,23420.86,6792.05,0,0
2015-05-18,1,0,0,5,fiber packages,0.26,baseline,17348.98,4510.73,0,0
2015-05-19,2,0,0,6,smartphones,0.19,baseline,18013.74,3422.61,0,0
2015-05-20,3,0,0,8,IoT devices,0.24,baseline,20970.88,5033.01,0,0
2015-05-21,4,0,0,6,accessories,0.27,baseline,19022.95,5136.2,0,0
2015-05-22,5,0,0,6,smartphones,0.16,baseline,20757.63,3321.22,0,0
2015-05-23,6,1,0,12,fiber packages,0.29,baseline,23750.24,6887.57,0,0
2015-05-24,0,1,0,14,fiber packages,0.29,baseline,24292.57,7044.85,0,0
2015-05-25,1,0,0,6,accessories,0.28,baseline,18341.61,5135.65,0,0
2015-05-26,2,0,0,4,IoT devices,0.22,baseline,18278.22,4021.21,0,0
2015-05-27,3,0,0,6,fiber packages,0.25,baseline,19830.63,4957.66,0,0
2015-05-28,4,0,0,6,fiber packages,0.25,baseline,20054.07,5013.52,0,0
2015-05-29,5,0,0,6,IoT devices,0.24,baseline,19460.27,4670.46,0,0
2015-05-30,6,1,0,13,fiber packages,0.27,baseline,24046.49,6492.55,0,0
2015-05-31,0,1,0,10,accessories,0.26,baseline,25114.47,6529.76,0,0
2015-06-01,1,0,0,5,fiber packages,0.29,baseline,17178.85,4981.87,0,0
2015-06-02,2,0,0,5,fiber packages,0.25,baseline,18424.16,4606.04,0,0
2015-06-03,3,0,0,9,IoT devices,0.21,baseline,19052.82,4001.09,0,0
2015-06-04,4,0,1,13,accessories,0.26,baseline,21228.06,5519.3,0,0
2015-06-05,5,0,0,8,smartphones,0.19,baseline,19373.08,3680.89,0,0
2015-06-06,6,1,0,14,smartphones,0.2,baseline,25115.63,5023.13,0,0
2015-06-07,0,1,0,14,accessories,0.3,baseline,24204.49,7261.35,0,0
2015-06-08,1,0,0,4,fiber packages,0.29,baseline,17500.59,5075.17,0,0
2015-06-09,2,0,0,5,smartphones,0.17,baseline,17753.36,3018.07,0,0
2015-06-10,3,0,1,12,smartphones,0.17,baseline,20928.43,3557.83,0,0
2015-06-11,4,0,0,7,smartphones,0.17,baseline,19005.56,3230.95,0,0
2015-06-12,5,0,0,8,IoT devices,0.23,baseline,19426.19,4468.02,0,0
2015-06-13,6,1,0,10,accessories,0.28,baseline,23142.58,6479.92,0,0
2015-06-14,0,1,0,12,accessories,0.27,baseline,24891.11,6720.6,0,0
2015-06-15,1,0,0,4,IoT devices,0.2,baseline,18427.4,3685.48,0,0
2015-06-16,2,0,0,4,smartphones,0.19,baseline,18209.13,3459.73,0,0
2015-06-17,3,0,0,8,IoT devices,0.21,baseline,19571.93,4110.11,0,0
2015-06-18,4,0,0,6,accessories,0.29,baseline,19515.85,5659.6,0,0
2015-06-19,5,0,0,6,accessories,0.25,baseline,19988.76,4997.19,0,0
2015-06-20,6,1,0,15,smartphones,0.16,baseline,25044.41,4007.11,0,0
2015-06-21,0,1,0,10,smartphones,0.19,baseline,23363.23,4439.01,0,0
2015-06-22,1,0,0,4,fiber packages,0.28,baseline,18302.62,5124.73,0,0
2015-06-23,2,0,0,6,fiber packages,0.28,baseline,18494.86,5178.56,0,0
2015-06-24,3,0,1,13,smartphones,0.17,baseline,20075.04,3412.76,0,0
2015-06-25,4,0,0,7,smartphones,0.17,baseline,19275.53,3276.84,0,0
2015-06-26,5,0,0,7,smartphones,0.17,baseline,20198.13,3433.68,0,0
2015-06-27,6,1,0,12,accessories,0.28,baseline,23786.78,6660.3,0,0
2015-06-28,0,1,0,12,smartphones,0.17,baseline,24372.07,4143.25,0,0
2015-06-29,1,0,0,5,IoT devices,0.22,baseline,18489.23,4067.63,0,0
2015-06-30,2,0,0,4,IoT devices,0.22,baseline,18259.8,4017.16,0,0
2015-07-01,3,0,0,7,accessories,0.26,summer_dip,18586.17,4832.4,0,0
2015-07-02,4,0,0,7,smartphones,0.19,summer_dip,19607.84,3725.49,0,0
2015-07-03,5,0,0,6,fiber packages,0.28,summer_dip,19138.79,5358.86,0,0
2015-07-04,6,1,0,11,accessories,0.26,summer_dip,22592.03,5873.93,0,0
2015-07-05,0,1,0,14,accessories,0.28,summer_dip,22648.98,6341.71,0,0
2015-07-06,1,0,0,4,fiber packages,0.28,summer_dip,16708.25,4678.31,0,0
2015-07-07,2,0,0,5,accessories,0.28,summer_dip,16095.12,4506.63,0,0
2015-07-08,3,0,0,7,IoT devices,0.25,summer_dip,18932.01,4733.0,0,0
2015-07-09,4,0,0,9,IoT devices,0.24,summer_dip,17477.06,4194.49,0,0
2015-07-10,5,0,0,8,smartphones,0.19,summer_dip,17949.39,3410.38,0,0
2015-07-11,6,1,0,15,fiber packages,0.29,summer_dip,22519.37,6530.62,0,0
2015-07-12,0,1,0,13,accessories,0.26,summer_dip,21458.59,5579.23,0,0
2015-07-13,1,0,0,5,fiber packages,0.3,summer_dip,16751.11,5025.33,0,0
2015-07-14,2,0,0,5,fiber packages,0.28,summer_dip,16808.06,4706.26,0,0
2015-07-15,3,0,0,8,IoT devices,0.24,summer_dip,18768.61,4504.47,0,0
2015-07-16,4,0,0,7,accessories,0.28,summer_dip,19021.91,5326.13,0,0
2015-07-17,5,0,0,9,fiber packages,0.29,summer_dip,17472.81,5067.11,0,0
2015-07-18,6,1,0,13,fiber packages,0.28,summer_dip,22734.65,6365.7,0,0
2015-07-19,0,1,0,15,fiber packages,0.27,summer_dip,21708.17,5861.21,0,0
2015-07-20,1,0,0,5,smartphones,0.17,summer_dip,17125.34,2911.31,0,0
2015-07-21,2,0,0,4,smartphones,0.17,summer_dip,16311.57,2772.97,0,0
2015-07-22,3,0,0,8,fiber packages,0.27,summer_dip,19324.2,5217.53,0,0
2015-07-23,4,0,0,8,smartphones,0.18,summer_dip,17980.06,3236.41,0,0
2015-07-24,5,0,0,8,IoT devices,0.23,summer_dip,18449.25,4243.33,0,0
2015-07-25,6,1,0,14,smartphones,0.2,summer_dip,21714.57,4342.91,0,0
2015-07-26,0,1,0,10,accessories,0.26,summer_dip,23399.66,6083.91,0,0
2015-07-27,1,0,0,5,IoT devices,0.21,summer_dip,16156.27,3392.82,0,0
2015-07-28,2,0,0,4,smartphones,0.16,summer_dip,16700.81,2672.13,0,0
2015-07-29,3,0,0,6,smartphones,0.18,summer_dip,18046.45,3248.36,0,0
2015-07-30,4,0,0,9,accessories,0.28,summer_dip,18724.61,5242.89,0,0
2015-07-31,5,0,0,6,fiber packages,0.25,summer_dip,19342.94,4835.73,0,0
2015-08-01,6,1,0,12,fiber packages,0.29,summer_dip,18380.04,5330.21,0,0
2015-08-02,0,1,0,14,smartphones,0.17,summer_dip,18400.96,3128.16,0,0
2015-08-03,1,0,0,4,IoT devices,0.24,summer_dip,15093.82,3622.52,0,0
2015-08-04,2,0,0,5,fiber packages,0.28,summer_dip,14150.12,3962.03,0,0
2015-08-05,3,0,0,9,accessories,0.29,summer_dip,15671.2,4544.65,0,0
2015-08-06,4,0,0,7,IoT devices,0.21,summer_dip,15276.92,3208.15,0,0
2015-08-07,5,0,0,9,fiber packages,0.26,summer_dip,16521.05,4295.47,0,0
2015-08-08,6,1,0,15,smartphones,0.19,summer_dip,18632.67,3540.21,0,0
2015-08-09,0,1,0,14,fiber packages,0.25,summer_dip,20020.59,5005.15,0,0
2015-08-10,1,0,0,6,smartphones,0.16,summer_dip,14609.34,2337.49,0,0
2015-08-11,2,0,0,5,fiber packages,0.26,summer_dip,13772.81,3580.93,0,0
2015-08-12,3,0,0,7,smartphones,0.16,summer_dip,15744.78,2519.16,0,0
2015-08-13,4,0,0,9,IoT devices,0.25,summer_dip,16711.46,4177.86,0,0
2015-08-14,5,0,0,6,accessories,0.25,summer_dip,16038.56,4009.64,0,0
2015-08-15,6,1,1,14,smartphones,0.16,summer_dip,20050.55,3208.09,0,0
2015-08-16,0,1,0,11,smartphones,0.19,summer_dip,19967.52,3793.83,0,0
2015-08-17,1,0,0,5,smartphones,0.16,summer_dip,14144.89,2263.18,0,0
2015-08-18,2,0,0,4,accessories,0.26,summer_dip,14938.42,3883.99,0,0
2015-08-19,3,0,0,8,accessories,0.27,summer_dip,15645.84,4224.38,0,0
2015-08-20,4,0,0,6,accessories,0.27,summer_dip,16754.99,4523.85,0,0
2015-08-21,5,0,0,7,smartphones,0.16,summer_dip,16212.44,2593.99,0,0
2015-08-22,6,1,0,14,smartphones,0.17,summer_dip,19389.29,3296.18,0,0
2015-08-23,0,1,0,15,accessories,0.3,summer_dip,18628.12,5588.44,0,0
2015-08-24,1,0,0,6,fiber packages,0.28,summer_dip,13701.48,3836.41,0,0
2015-08-25,2,0,0,6,IoT devices,0.22,summer_dip,14621.56,3216.74,0,0
2015-08-26,3,0,0,8,accessories,0.27,summer_dip,15293.26,4129.18,0,0
2015-08-27,4,0,0,9,smartphones,0.18,summer_dip,16778.6,3020.15,0,0
2015-08-28,5,0,0,7,accessories,0.29,summer_dip,16087.72,4665.44,0,0
2015-08-29,6,1,0,15,IoT devices,0.21,summer_dip,19661.76,4128.97,0,0
2015-08-30,0,1,0,13,fiber packages,0.27,summer_dip,18873.07,5095.73,0,0
2015-08-31,1,0,0,4,IoT devices,0.23,summer_dip,14828.06,3410.45,0,0
2015-09-01,2,0,0,6,fiber packages,0.26,summer_recovery,15655.52,4070.44,0,0
2015-09-02,3,0,0,8,smartphones,0.18,summer_recovery,18682.74,3362.89,0,0
2015-09-03,4,0,0,7,IoT devices,0.22,summer_recovery,19229.4,4230.47,0,0
2015-09-04,5,0,0,7,smartphones,0.15,summer_recovery,18547.13,2782.07,0,0
2015-09-05,6,1,0,11,IoT devices,0.22,summer_recovery,21198.7,4663.71,0,0
2015-09-06,0,1,0,14,smartphones,0.2,summer_recovery,22775.25,4555.05,0,0
2015-09-07,1,0,0,6,accessories,0.28,summer_recovery,17037.17,4770.41,0,0
2015-09-08,2,0,0,4,fiber packages,0.26,summer_recovery,16509.91,4292.58,0,0
2015-09-09,3,0,0,8,fiber packages,0.26,summer_recovery,17885.36,4650.19,0,0
2015-09-10,4,0,0,7,fiber packages,0.28,summer_recovery,18969.63,5311.5,0,0
2015-09-11,5,0,0,8,accessories,0.27,summer_recovery,18655.4,5036.96,0,0
2015-09-12,6,1,0,12,fiber packages,0.26,summer_recovery,22623.89,5882.21,0,0
2015-09-13,0,1,0,13,fiber packages,0.26,summer_recovery,21899.31,5693.82,0,0
2015-09-14,1,0,0,4,IoT devices,0.24,summer_recovery,16248.49,3899.64,0,0
2015-09-15,2,0,0,4,IoT devices,0.22,summer_recovery,16445.03,3617.91,0,0
2015-09-16,3,0,0,9,fiber packages,0.29,summer_recovery,17979.49,5214.05,0,0
2015-09-17,4,0,0,8,fiber packages,0.3,summer_recovery,19048.07,5714.42,0,0
2015-09-18,5,0,0,8,smartphones,0.19,summer_recovery,18034.15,3426.49,0,0
2015-09-19,6,1,0,11,IoT devices,0.22,summer_recovery,22308.18,4907.8,0,0
2015-09-20,0,1,0,14,fiber packages,0.29,summer_recovery,22756.23,6599.31,0,0
2015-09-21,1,0,0,4,smartphones,0.18,summer_recovery,15884.65,2859.24,0,0
2015-09-22,2,0,0,4,smartphones,0.18,summer_recovery,16635.25,2994.34,0,0
2015-09-23,3,0,0,9,fiber packages,0.26,summer_recovery,19208.31,4994.16,0,0
2015-09-24,4,0,0,8,accessories,0.26,summer_recovery,17903.79,4654.99,0,0
2015-09-25,5,0,0,9,IoT devices,0.21,summer_recovery,17336.85,3640.74,0,0
2015-09-26,6,1,0,14,smartphones,0.17,summer_recovery,22258.71,3783.98,0,0
2015-09-27,0,1,0,10,smartphones,0.16,summer_recovery,21266.29,3402.61,0,0
2015-09-28,1,0,0,4,IoT devices,0.2,summer_recovery,16770.67,3354.13,0,0
2015-09-29,2,0,0,4,smartphones,0.2,summer_recovery,16378.14,3275.63,0,0
2015-09-30,3,0,0,7,accessories,0.27,summer_recovery,18754.51,5063.72,0,0
2015-10-01,4,0,0,7,accessories,0.26,baseline,20746.06,5393.98,0,0
2015-10-02,5,0,0,7,IoT devices,0.2,baseline,20343.17,4068.63,0,0
2015-10-03,6,1,0,10,accessories,0.3,baseline,24591.54,7377.46,0,0
2015-10-04,0,1,0,14,smartphones,0.16,baseline,23044.7,3687.15,0,0
2015-10-05,1,0,1,11,accessories,0.3,baseline,18646.03,5593.81,0,0
2015-10-06,2,0,0,6,IoT devices,0.23,baseline,17372.37,3995.65,0,0
2015-10-07,3,0,0,8,smartphones,0.16,baseline,19324.91,3091.99,0,0
2015-10-08,4,0,0,7,accessories,0.25,baseline,20463.28,5115.82,0,0
2015-10-09,5,0,0,8,accessories,0.29,baseline,19517.43,5660.05,0,0
2015-10-10,6,1,0,15,IoT devices,0.24,baseline,23103.86,5544.93,0,0
2015-10-11,0,1,0,14,fiber packages,0.28,baseline,25100.23,7028.06,0,0
2015-10-12,1,0,0,4,accessories,0.27,baseline,18440.86,4979.03,0,0
2015-10-13,2,0,0,6,fiber packages,0.29,baseline,18156.97,5265.52,0,0
2015-10-14,3,0,0,9,smartphones,0.15,baseline,19278.82,2891.82,0,0
2015-10-15,4,0,0,8,fiber packages,0.29,baseline,19316.62,5601.82,0,0
2015-10-16,5,0,0,8,accessories,0.28,baseline,20697.78,5795.38,0,0
2015-10-17,6,1,0,15,IoT devices,0.25,baseline,24895.1,6223.77,0,0
2015-10-18,0,1,0,15,IoT devices,0.22,baseline,24886.83,5475.1,0,0
2015-10-19,1,0,0,5,fiber packages,0.29,baseline,18761.68,5440.89,0,0
2015-10-20,2,0,0,4,fiber packages,0.28,baseline,17892.58,5009.92,0,0
2015-10-21,3,0,0,6,accessories,0.29,baseline,20449.13,5930.25,0,0
2015-10-22,4,0,0,8,IoT devices,0.21,baseline,19860.79,4170.77,0,0
2015-10-23,5,0,0,8,fiber packages,0.26,baseline,19452.31,5057.6,0,0
2015-10-24,6,1,0,15,IoT devices,0.24,baseline,24686.23,5924.7,0,0
2015-10-25,0,1,0,11,IoT devices,0.2,baseline,24538.54,4907.71,0,0
2015-10-26,1,0,0,5,accessories,0.29,baseline,17633.13,5113.61,0,0
2015-10-27,2,0,0,4,IoT devices,0.25,baseline,18566.87,4641.72,0,0
2015-10-28,3,0,0,8,smartphones,0.16,baseline,20756.05,3320.97,0,0
2015-10-29,4,0,0,9,IoT devices,0.21,baseline,20723.57,4351.95,0,0
2015-10-30,5,0,0,6,accessories,0.28,baseline,20511.53,5743.23,0,0
2015-10-31,6,1,0,11,fiber packages,0.26,baseline,23971.75,6232.66,0,0
2015-11-01,0,1,1,10,smartphones,0.19,baseline,24506.06,4656.15,0,0
2015-11-02,1,0,0,4,fiber packages,0.27,baseline,17414.3,4701.86,0,0
2015-11-03,2,0,0,6,accessories,0.29,baseline,17790.26,5159.18,0,0
2015-11-04,3,0,0,9,IoT devices,0.24,baseline,20836.1,5000.66,0,0
2015-11-05,4,0,0,9,smartphones,0.16,baseline,20219.44,3235.11,0,0
2015-11-06,5,0,0,8,fiber packages,0.28,baseline,20308.65,5686.42,0,0
2015-11-07,6,1,0,13,IoT devices,0.24,baseline,24843.93,5962.54,0,0
2015-11-08,0,1,0,14,smartphones,0.18,baseline,24319.76,4377.56,0,0
2015-11-09,1,0,0,6,fiber packages,0.28,baseline,17237.66,4826.54,0,0
2015-11-10,2,0,0,4,accessories,0.29,baseline,18707.12,5425.06,0,0
2015-11-11,3,0,0,7,IoT devices,0.23,baseline,19059.92,4383.78,0,0
2015-11-12,4,0,0,8,fiber packages,0.29,baseline,20177.77,5851.55,0,0
2015-11-13,5,0,0,7,fiber packages,0.27,baseline,19204.8,5185.3,0,0
2015-11-14,6,1,0,10,IoT devices,0.23,baseline,24591.39,5656.02,0,0
2015-11-15,0,1,0,10,accessories,0.25,baseline,24831.4,6207.85,0,0
